kaynak            : examples
bölme tohumları   : (11, 22, 33, 44, 55)
eğitim tohumları  : (0, 1, 2)
epoch / batch     : 20 / 64
--balance-by      : core:freq_lower_edge

=== bölme tohumu 11 ===
  train : bpsk_02(-180k), bpsk_04(+280k), qpsk_02(-180k), qpsk_04(+280k)
  val   : bpsk_01(-280k), qpsk_01(-280k)
  test  : bpsk_03(+180k), qpsk_03(+180k)
  train : bpsk_01(-280k), bpsk_04(+280k), qpsk_01(-280k), qpsk_04(+280k)
  val   : bpsk_02(-180k), qpsk_02(-180k)
  test  : bpsk_03(+180k), qpsk_03(+180k)
    [split 55 train 0] epoch   1 kayıp 0.6959 eğitim 0.5125 val 0.5000
    [split 55 train 0] epoch   2 kayıp 0.6722 eğitim 0.5875 val 0.5000
    [split 55 train 0] epoch   3 kayıp 0.6421 eğitim 0.7156 val 0.5000
    [split 55 train 0] epoch   4 kayıp 0.6070 eğitim 0.7781 val 0.5000
    [split 55 train 0] epoch   5 kayıp 0.5636 eğitim 0.8594 val 0.5000
    [split 55 train 0] epoch   6 kayıp 0.5178 eğitim 0.9313 val 0.5000
    [split 55 train 0] epoch   7 kayıp 0.4762 eğitim 0.9594 val 0.5000
    [split 55 train 0] epoch   8 kayıp 0.4315 eğitim 0.9531 val 0.5000
    [split 55 train 0] epoch   9 kayıp 0.3755 eğitim 0.9719 val 0.5000
    [split 55 train 0] epoch  10 kayıp 0.3195 eğitim 0.9750 val 0.5000
    [split 55 train 0] epoch  11 kayıp 0.2671 eğitim 0.9906 val 0.5000
    [split 55 train 0] epoch  12 kayıp 0.2275 eğitim 0.9844 val 0.5000
    [split 55 train 0] epoch  13 kayıp 0.1822 eğitim 0.9969 val 0.5000
    [split 55 train 0] epoch  14 kayıp 0.1504 eğitim 1.0000 val 0.5000
    [split 55 train 0] epoch  15 kayıp 0.1275 eğitim 0.9969 val 0.5000
    [split 55 train 0] epoch  16 kayıp 0.1070 eğitim 1.0000 val 0.5000
    [split 55 train 0] epoch  17 kayıp 0.0942 eğitim 1.0000 val 0.5000
    [split 55 train 0] epoch  18 kayıp 0.0797 eğitim 0.9969 val 0.5000
    [split 55 train 0] epoch  19 kayıp 0.0733 eğitim 1.0000 val 0.5000
    [split 55 train 0] epoch  20 kayıp 0.0629 eğitim 1.0000 val 0.5000
  -> eğitim tohumu 0: eğitim 100.00%  test 50.00%  (bpsk=0.00%  qpsk=100.00%)
    [split 55 train 1] epoch   1 kayıp 0.7005 eğitim 0.4750 val 0.5000
    [split 55 train 1] epoch   2 kayıp 0.6818 eğitim 0.5687 val 0.5000
