C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:133: DeprecationWarning: SigMFFile.DATATYPE_KEY is deprecated and will be removed in a future version, use sigmf.DATATYPE_KEY
  SigMFFile.DATATYPE_KEY: "cf32_le",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:134: DeprecationWarning: SigMFFile.SAMPLE_RATE_KEY is deprecated and will be removed in a future version, use sigmf.SAMPLE_RATE_KEY
  SigMFFile.SAMPLE_RATE_KEY: rec.sample_rate,
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:135: DeprecationWarning: SigMFFile.VERSION_KEY is deprecated and will be removed in a future version, use sigmf.VERSION_KEY
  SigMFFile.VERSION_KEY: "1.0.0",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:136: DeprecationWarning: SigMFFile.DESCRIPTION_KEY is deprecated and will be removed in a future version, use sigmf.DESCRIPTION_KEY
  SigMFFile.DESCRIPTION_KEY: f"LoRaIQ segment from {start}",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:139: DeprecationWarning: SigMFFile.START_INDEX_KEY is deprecated and will be removed in a future version, use sigmf.SAMPLE_START_KEY or SigMFFile.SAMPLE_START_KEY
  capture = {SigMFFile.START_INDEX_KEY: 0}
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:141: DeprecationWarning: SigMFFile.FREQUENCY_KEY is deprecated and will be removed in a future version, use sigmf.FREQUENCY_KEY
  capture[SigMFFile.FREQUENCY_KEY] = rec.center_frequency
prepared 312 recordings in 15s -> C:\Users\Emre\AppData\Local\Temp\iqforge-loraiq-src-efjawudw
5 strides x 5 split x 3 train x 2 = 150 runs, 20 epochs each
  [101/150] stride= 768 window-level    split=7 train=1  test=64.70% train=71.66%  (24s/run, 3515/779 windows, ~57 min left)
  [102/150] stride= 768 window-level    split=7 train=2  test=64.06% train=72.75%  (24s/run, 3515/779 windows, ~55 min left)
  [103/150] stride= 768 recording-level split=1234 train=0  test=63.79% train=72.13%  (23s/run, 3401/1425 windows, ~54 min left)
  [104/150] stride= 768 recording-level split=1234 train=1  test=54.53% train=72.04%  (23s/run, 3401/1425 windows, ~52 min left)
  [105/150] stride= 768 recording-level split=1234 train=2  test=47.65% train=72.18%  (22s/run, 3401/1425 windows, ~51 min left)
  [106/150] stride= 768 window-level    split=1234 train=0  test=63.55% train=72.33%  (23s/run, 3401/1424 windows, ~50 min left)
  [107/150] stride= 768 window-level    split=1234 train=1  test=66.92% train=71.57%  (23s/run, 3401/1424 windows, ~48 min left)
  [108/150] stride= 768 window-level    split=1234 train=2  test=64.47% train=72.68%  (23s/run, 3401/1424 windows, ~47 min left)
  [109/150] stride= 768 recording-level split=2026 train=0  test=68.42% train=76.30%  (22s/run, 3135/1444 windows, ~45 min left)
  [110/150] stride= 768 recording-level split=2026 train=1  test=65.79% train=75.25%  (22s/run, 3135/1444 windows, ~44 min left)
  [111/150] stride= 768 recording-level split=2026 train=2  test=65.65% train=75.66%  (23s/run, 3135/1444 windows, ~43 min left)
  [112/150] stride= 768 window-level    split=2026 train=0  test=66.04% train=71.61%  (23s/run, 3135/1443 windows, ~41 min left)
  [113/150] stride= 768 window-level    split=2026 train=1  test=70.13% train=72.31%  (22s/run, 3135/1443 windows, ~40 min left)
  [114/150] stride= 768 window-level    split=2026 train=2  test=70.76% train=73.24%  (21s/run, 3135/1443 windows, ~39 min left)
  [115/150] stride= 768 recording-level split=99 train=0  test=80.16% train=75.34%  (21s/run, 2831/1235 windows, ~37 min left)
  [116/150] stride= 768 recording-level split=99 train=1  test=81.70% train=76.86%  (21s/run, 2831/1235 windows, ~36 min left)
  [117/150] stride= 768 recording-level split=99 train=2  test=72.31% train=75.91%  (21s/run, 2831/1235 windows, ~35 min left)
  [118/150] stride= 768 window-level    split=99 train=0  test=67.53% train=71.82%  (21s/run, 2832/1235 windows, ~34 min left)
  [119/150] stride= 768 window-level    split=99 train=1  test=70.28% train=71.50%  (22s/run, 2832/1235 windows, ~32 min left)
  [120/150] stride= 768 window-level    split=99 train=2  test=67.29% train=72.03%  (22s/run, 2832/1235 windows, ~31 min left)
  [121/150] stride= 256 recording-level split=42 train=0  test=66.22% train=78.44%  (79s/run, 11704/3416 windows, ~30 min left)
  [122/150] stride= 256 recording-level split=42 train=1  test=62.91% train=80.08%  (79s/run, 11704/3416 windows, ~29 min left)
  [123/150] stride= 256 recording-level split=42 train=2  test=67.83% train=79.23%  (79s/run, 11704/3416 windows, ~28 min left)
  [124/150] stride= 256 window-level    split=42 train=0  test=71.07% train=75.21%  (78s/run, 11704/3415 windows, ~27 min left)
  [125/150] stride= 256 window-level    split=42 train=1  test=72.97% train=75.74%  (78s/run, 11704/3415 windows, ~26 min left)
  [126/150] stride= 256 window-level    split=42 train=2  test=60.23% train=75.41%  (72s/run, 11704/3415 windows, ~25 min left)
  [127/150] stride= 256 recording-level split=7 train=0  test=77.70% train=74.44%  (68s/run, 10360/2296 windows, ~24 min left)
  [128/150] stride= 256 recording-level split=7 train=1  test=73.04% train=73.69%  (68s/run, 10360/2296 windows, ~23 min left)
  [129/150] stride= 256 recording-level split=7 train=2  test=75.83% train=72.69%  (68s/run, 10360/2296 windows, ~22 min left)
  [130/150] stride= 256 window-level    split=7 train=0  test=73.16% train=75.13%  (68s/run, 10361/2295 windows, ~21 min left)
  [131/150] stride= 256 window-level    split=7 train=1  test=68.80% train=75.54%  (71s/run, 10361/2295 windows, ~20 min left)
  [132/150] stride= 256 window-level    split=7 train=2  test=71.42% train=76.06%  (70s/run, 10361/2295 windows, ~19 min left)
  [133/150] stride= 256 recording-level split=1234 train=0  test=60.81% train=79.40%  (64s/run, 10024/4200 windows, ~18 min left)
  [134/150] stride= 256 recording-level split=1234 train=1  test=63.88% train=78.95%  (63s/run, 10024/4200 windows, ~17 min left)
  [135/150] stride= 256 recording-level split=1234 train=2  test=72.33% train=77.95%  (63s/run, 10024/4200 windows, ~16 min left)
  [136/150] stride= 256 window-level    split=1234 train=0  test=74.55% train=75.43%  (64s/run, 10023/4201 windows, ~15 min left)
  [137/150] stride= 256 window-level    split=1234 train=1  test=61.63% train=75.45%  (64s/run, 10023/4201 windows, ~14 min left)
  [138/150] stride= 256 window-level    split=1234 train=2  test=71.08% train=75.31%  (68s/run, 10023/4201 windows, ~13 min left)
  [139/150] stride= 256 recording-level split=2026 train=0  test=65.01% train=83.21%  (63s/run, 9240/4256 windows, ~12 min left)
  [140/150] stride= 256 recording-level split=2026 train=1  test=66.64% train=84.38%  (20038s/run, 9240/4256 windows, ~34 min left)
  [141/150] stride= 256 recording-level split=2026 train=2  test=67.25% train=82.55%  (81s/run, 9240/4256 windows, ~31 min left)
  [142/150] stride= 256 window-level    split=2026 train=0  test=63.41% train=74.45%  (81s/run, 9241/4255 windows, ~27 min left)
  [143/150] stride= 256 window-level    split=2026 train=1  test=64.56% train=75.24%  (81s/run, 9241/4255 windows, ~24 min left)
  [144/150] stride= 256 window-level    split=2026 train=2  test=74.97% train=75.24%  (81s/run, 9241/4255 windows, ~20 min left)
  [145/150] stride= 256 recording-level split=99 train=0  test=65.69% train=83.38%  (78s/run, 8344/3640 windows, ~17 min left)
  [146/150] stride= 256 recording-level split=99 train=1  test=80.58% train=84.17%  (78s/run, 8344/3640 windows, ~13 min left)
  [147/150] stride= 256 recording-level split=99 train=2  test=72.83% train=83.72%  (79s/run, 8344/3640 windows, ~10 min left)
  [148/150] stride= 256 window-level    split=99 train=0  test=64.67% train=74.29%  (79s/run, 8344/3640 windows, ~7 min left)
  [149/150] stride= 256 window-level    split=99 train=1  test=69.29% train=74.95%  (78s/run, 8344/3640 windows, ~3 min left)
  [150/150] stride= 256 window-level    split=99 train=2  test=70.52% train=74.96%  (76s/run, 8344/3640 windows, ~0 min left)

total wall time 494.9 min for 150 runs

| stride | overlap | windows/rec | recording-level | window-level | inflation (paired) | n |
|---|---|---|---|---|---|---|
| 1024 | 0% | 14 | 66.8% ± 6.7% | 68.3% ± 2.1% | **+1.5 pp** ± 1.7 | 15 |
| 768 | 25% | 19 | 67.8% ± 9.0% | 67.3% ± 2.8% | **-0.4 pp** ± 2.3 | 15 |
| 512 | 50% | 28 | 65.8% ± 9.0% | 69.4% ± 3.2% | **+3.7 pp** ± 2.3 | 15 |
| 256 | 75% | 56 | 69.2% ± 5.8% | 68.8% ± 4.8% | **-0.4 pp** ± 1.7 | 15 |
| 128 | 88% | 112 | 64.5% ± 10.0% | 74.1% ± 4.5% | **+9.6 pp** ± 2.7 | 15 |

LoRaIQ, class = propagation environment (drone_los, drone_nlos, pedestrian_partial_los, pedestrian_nlos, indoor), 312 recordings over 13 capture sessions, grouped by transmission id so simultaneous receptions stay in one split. Window fixed at 1024 samples over a 15244-sample segment centred on each frame; no noise added. Overlap is the only thing that moves between rows. Inflation is the mean paired difference ± its standard error.

wrote leakage_loraiq_runs.json and leakage_loraiq_table.md
